symbol,industry,in_our_universe
DBEIL,Civil Construction Companies,0
DBL,Civil Construction Companies,1
DBOL,Sugar Companies,1
DBREALTY,Hotels & Resorts Companies,0
DBSTOCKBRO,Stock Broking Companies,0
DCAL,Pharmaceuticals Companies,1
DCBBANK,Private Sector Bank Companies,1
DCG,Cables - Electricals Companies,0
DCI,Computers Hardware & Equipments Companies,1
DCM,Iron & Steel Companies,0
DCMFINSERV,Non Banking Financial Company (NBFC) Companies,0
DCMNVL,Textiles Companies,0
DCMSHRIRAM,Diversified Companies,1
DCMSIL,Aerospace & Defence Companies,0
DCMSRIND,Sugar Companies,1
DCW,Petrochemicals Companies,1
DCXINDIA,Aerospace & Defense Companies,1
DDEVPLSTIK,Plastic Products Companies,1
DECCANCE,Cement & Cement Products Companies,1
DECNGOLD,Industrial Minerals Companies,1
DEEDEV,Industrial Machinery Companies,0
DEEPAKFERT,Commodity Chemicals Companies,1
DEEPAKNTR,Specialty Chemicals Companies,1
DEEPINDS,Oil Equipment & Services Companies,1
DELHIVERY,Logistics Solution Provider Companies,1
DELPHIFX,Other Financial Services Companies,0
DELTACORP,Amusement Parks/ Other Recreation Companies,1
DELTAMAGNT,Industrial Machinery Companies,1
DELTIC,2/3 Wheelers Companies,0
DEN,TV Broadcasting & Software Production Companies,1
DENORA,Electrodes & Refractories Companies,1
DENTA,Water Supply & Management Companies,1
DENTALKART,Medical Equipment & Supplies Companies,0
DEVIT,IT Consulting & Software Companies,1
DEVX,Civil Construction Companies,1
DEVYANI,Restaurants Companies,1
DGCONTENT,Advertising & Media Agencies Companies,1
DHAMPURSUG,Sugar Companies,1
DHANBANK,Private Sector Bank Companies,1
DHANUKA,Pesticides & Agrochemicals Companies,1
DHARAN,Real Estate Companies,0
DHARIWAL,Trading - Chemicals Companies,0
DHARMAJ,Pesticides & Agrochemicals Companies,1
DHENUBUILD,Non Banking Financial Company (NBFC) Companies,0
DHRUV,Consulting Services Companies,0
DHTL,E-Learning Companies,0
DHUNINV,Asset Management Company Companies,1
DIACABS,Other Electrical Equipment Companies,1
DIAMINESQ,Petrochemical Companies,1
DIAMONDYD,Packaged Foods Companies,1
DICIND,Printing Inks Companies,1
DIFFNKG,Other Industrial Products Companies,1
DIGIDRIVE,E-Retail/ E-Commerce Companies,1
DIGIKORE,Media & Entertainment Companies,0
DIGISPICE,IT Consulting & Software Companies,0
DIGITIDE,IT Enabled Services Companies,1
DIGJAMLMTD,Textiles Companies,1
DIL,Hotels & Resorts Companies,0
DISAQ,Industrial Products Companies,1
